Tag,Frequency
d_at_a_s_ov_er_ei_gn_tya_fr_ic_an_a_s_tu_di_es,15
d_at_a_s_ov_er_ei_gn_typ_yt_ho_n,15
d_at_a_s_ov_er_ei_gn_tyv_au_lt_s_tr_uc_tu_re,11
d_at_a_s_ov_er_ei_gn_ty1,11
d_at_a_s_ov_er_ei_gn_tyo_bs_id_ia_n,11
d_at_a_s_ov_er_ei_gn_tya_i_m_l,9
d_at_a_s_ov_er_ei_gn_tya_i_f_ai_rn_es_s,8
d_at_a_s_ov_er_ei_gn_tya_ut_om_at_io_n,7
d_at_a_s_ov_er_ei_gn_tyg_en_er_at_iv_e_a_i,6
d_at_a_s_ov_er_ei_gn_tyd_ec_ol_on_iz_at_io_n,6
d_at_a_s_ov_er_ei_gn_tys_oc_ia_l_j_us_ti_ce,6
d_at_a_s_ov_er_ei_gn_tya_na_co_st_ia_v_au_lt,6
d_at_a_s_ov_er_ei_gn_tyt_ec_h_j_us_ti_ce,6
d_at_a_s_ov_er_ei_gn_tyf_un_ct_io_n,6
d_at_a_s_ov_er_ei_gn_tyl_ea_rn_in_g_p_at_h,6
d_at_a_s_ov_er_ei_gn_typ_er_so_na_l_d_ev_el_op_me_nt,5
d_at_a_s_ov_er_ei_gn_tys_um_ma_ry,5
d_at_a_s_ov_er_ei_gn_typ_an_af_ri_ca_ni_sm,5
d_at_a_s_ov_er_ei_gn_tya_fr_ic_an_di_as_po_ra,5
d_at_a_s_ov_er_ei_gn_tyb_la_ck_l_iv_es_m_at_te_r,5
d_at_a_s_ov_er_ei_gn_tya_i,5
d_at_a_s_ov_er_ei_gn_tya_i_d_ev_el_op_me_nt,5
d_at_a_s_ov_er_ei_gn_typ_ro_du_ct_iv_it_y,5
d_at_a_s_ov_er_ei_gn_tyt_ec_hn_ic_al_m_as_te_ry,5
displaying_format,5
d_at_a_s_ov_er_ei_gn_tyd_ec_ol_on_ia_l_t_ec_h,4
d_at_a_s_ov_er_ei_gn_tyb_la_ck_h_is_to_ry,4
d_at_a_s_ov_er_ei_gn_tyb_la_ck_li_be_ra_ti_on,4
d_at_a_s_ov_er_ei_gn_tyc_iv_il_r_ig_ht_s,4
d_at_a_s_ov_er_ei_gn_tya_fr_of_ut_ur_is_m,4
d_at_a_s_ov_er_ei_gn_tya_i_e_th_ic_s,4
d_at_a_s_ov_er_ei_gn_tyb_ia_s_d_et_ec_ti_on,4
d_at_a_s_ov_er_ei_gn_tyc_aj_un_p_ow_er,4
d_at_a_s_ov_er_ei_gn_tyd_ec_ol_on_ia_l_t_ho_ug_ht,4
d_at_a_s_ov_er_ei_gn_tyd_ig_it_al_sc_or_py_un,4
d_at_a_s_ov_er_ei_gn_tyd_is_ci_pl_in_e,4
d_at_a_s_ov_er_ei_gn_tyf_oo_d_f_ue_l,4
d_at_a_s_ov_er_ei_gn_tyg_oa_ls,4
d_at_a_s_ov_er_ei_gn_tyh_ou_se_ho_ld_m_ig_ht,4
d_at_a_s_ov_er_ei_gn_tyi_bm_c_er_ti_fi_ca_ti_on,4
d_at_a_s_ov_er_ei_gn_tym_l,4
d_at_a_s_ov_er_ei_gn_typ_er_so_na_l_g_ro_ce_ry_l_is_t,4
d_at_a_s_ov_er_ei_gn_typ_hi_lo_so_ph_y,4
d_at_a_s_ov_er_ei_gn_tyr_oy_al_p_ur_pl_e,4
d_at_a_s_ov_er_ei_gn_tys_cr_ip_ti_ng,4
d_at_a_s_ov_er_ei_gn_tys_to_ic_r_ef_le_ct_io_n,4
d_at_a_s_ov_er_ei_gn_tyv_au_lt_l_if_e,4
d_at_a_s_ov_er_ei_gn_tyv_au_lt_i_nd_ex,3
d_at_a_s_ov_er_ei_gn_tyn_av_ig_at_io_n,3
d_at_a_s_ov_er_ei_gn_tyz_et_te_lk_as_te_n,3
d_at_a_s_ov_er_ei_gn_tya_lg_eb_ra,3
d_at_a_s_ov_er_ei_gn_tyr_ea_di_ng_t_ra_ck_er,3
d_at_a_s_ov_er_ei_gn_tya_fr_ic_an_d_ia_sp_or_a_t_he_me_s,3
d_at_a_s_ov_er_ei_gn_tyr_ac_ia_lj_us_ti_ce,3
d_at_a_s_ov_er_ei_gn_tya_ct_iv_is_m,3
d_at_a_s_ov_er_ei_gn_tys_oc_ia_l_m_ov_em_en_t,3
d_at_a_s_ov_er_ei_gn_tym_od_er_n_i_mp_ac_t,3
d_at_a_s_ov_er_ei_gn_tym_ar_yl_an_d_r_ep_ar_at_io_ns,3
d_at_a_s_ov_er_ei_gn_tys_en_at_e_b_il_l_587,3
d_at_a_s_ov_er_ei_gn_tyb_la_ck_c_au_cu_s,3
d_at_a_s_ov_er_ei_gn_tyr_ep_ar_at_io_ns_h_is_to_ry,3
d_at_a_s_ov_er_ei_gn_tyd_ec_ol_on_ia_l,3
d_at_a_s_ov_er_ei_gn_tyd_ec_ol_on_ia_l_b_io_lo_gy,3
d_at_a_s_ov_er_ei_gn_tya_lt_er_na_ti_ve_e_vo_lu_ti_on,3
d_at_a_s_ov_er_ei_gn_tya_st_ro_bi_ol_og_y,3
d_at_a_s_ov_er_ei_gn_tyr_et_in_al_p_ho_to_sy_nt_he_si_s,3
d_at_a_s_ov_er_ei_gn_tyd_ec_ol_on_ia_l_a_i,3
d_at_a_s_ov_er_ei_gn_tyf_ai_rn_es_s_m_et_ri_cs,3
d_at_a_s_ov_er_ei_gn_tye_th_ic_al_a_i,3
d_at_a_s_ov_er_ei_gn_tya_if_or_go_od,3
d_at_a_s_ov_er_ei_gn_tyf_f6_f61,3
d_at_a_s_ov_er_ei_gn_ty6_b5_b95,3
d_at_a_s_ov_er_ei_gn_ty88_b04_b,3
d_at_a_s_ov_er_ei_gn_tyd_ee_p_l_ea_rn_in_g,3
d_at_a_s_ov_er_ei_gn_tyf7_ca_c9,3
d_at_a_s_ov_er_ei_gn_ty630330,3
d_at_a_s_ov_er_ei_gn_ty1_c1_c1_c,3
d_at_a_s_ov_er_ei_gn_tya_fr_ic_an_a_e_pi_st_em_ol_og_y,3
d_at_a_s_ov_er_ei_gn_tya_lg_or_it_hm_ic_j_us_ti_ce,3
d_at_a_s_ov_er_ei_gn_tya_ng_el_a_d_av_is,3
d_at_a_s_ov_er_ei_gn_tyc_om_ma_nd,3
d_at_a_s_ov_er_ei_gn_tyc_om_pu_ta_ti_on_al_j_us_ti_ce,3
d_at_a_s_ov_er_ei_gn_tyc_on_fi_g,3
d_at_a_s_ov_er_ei_gn_tyc_or_el_ib_ra_ri_es,3
d_at_a_s_ov_er_ei_gn_tyd_ai_ly_r_ou_ti_ne_s,3
d_at_a_s_ov_er_ei_gn_tyd_at_e,3
d_at_a_s_ov_er_ei_gn_tyd_yn_am_ic,3
d_at_a_s_ov_er_ei_gn_tye_xe_cu_ti_on,3
d_at_a_s_ov_er_ei_gn_tyf_en_a_mp_23956_a,3
d_at_a_s_ov_er_ei_gn_tyf_il_e,3
d_at_a_s_ov_er_ei_gn_tyf_ro_nt_ma_tt_er,3
d_at_a_s_ov_er_ei_gn_tyi_bm_a_i_c_er_ti_fi_ca_ti_on,3
d_at_a_s_ov_er_ei_gn_tyi_bm_a_i_d_ev_el_op_er,3
d_at_a_s_ov_er_ei_gn_tyl_ea_rn_in_g,3
d_at_a_s_ov_er_ei_gn_tyn_eu_ra_l_n_et_wo_rk_s,3
d_at_a_s_ov_er_ei_gn_tyo_bj_ec_t,3
d_at_a_s_ov_er_ei_gn_tyo_bs_id_ia_n_v_au_lt,3
d_at_a_s_ov_er_ei_gn_typ_ar_al_le_l_c_om_pu_ti_ng,3
d_at_a_s_ov_er_ei_gn_typ_er_fo_rm_an_ce_o_pt_im_iz_at_io_n,3
d_at_a_s_ov_er_ei_gn_typ_ro_gr_am_mi_ng,3
d_at_a_s_ov_er_ei_gn_typ_ro_gr_am_mi_ng_f_un_da_me_nt_al_s,3
d_at_a_s_ov_er_ei_gn_typ_yt_ho_n_m_as_te_ry,3
d_at_a_s_ov_er_ei_gn_tys_cr_ip_t,3
d_at_a_s_ov_er_ei_gn_tys_ec_ti_on1,3
d_at_a_s_ov_er_ei_gn_tys_ta_nd_ar_d_l_ib_ra_ry,3
d_at_a_s_ov_er_ei_gn_tys_ta_rt,3
d_at_a_s_ov_er_ei_gn_tys_to_ic_is_m,3
d_at_a_s_ov_er_ei_gn_tys_tr_at_eg_y,3
d_at_a_s_ov_er_ei_gn_tys_ys_te_m,3
d_at_a_s_ov_er_ei_gn_tys_ys_te_ms,3
d_at_a_s_ov_er_ei_gn_tyt_as_ka_ut_om_at_io_n,3
d_at_a_s_ov_er_ei_gn_tyt_ec_h_s_ta_ck,3
d_at_a_s_ov_er_ei_gn_tyt_ec_hn_ol_og_y,3
d_at_a_s_ov_er_ei_gn_tyt_yp_es,3
d_at_a_s_ov_er_ei_gn_tyu_se_r,3
d_at_a_s_ov_er_ei_gn_tyw_eb,3
d_at_a_s_ov_er_ei_gn_tyw_hi_te_sp_ac_e,3
d_at_a_s_ov_er_ei_gn_tyc_on_ta_ct_s_i_nd_ex,2
d_at_a_s_ov_er_ei_gn_tyg_ro_om_in_g_s_er_vi_ce_s,2
d_at_a_s_ov_er_ei_gn_tyt_ec_h_s_up_po_rt,2
i_b_m_c_e_r_t_i_f_i_c_a_t_i_o_n,2
h_t_m_l,2
w_e_b_d_e_v_e_l_o_p_m_e_n_t,2
m_o_d_u_l_e_1,2
d_at_a_s_ov_er_ei_gn_tyd_ig_it_al_sc_or_py_un_a_pp_ro_ve_d,2
d_at_a_s_ov_er_ei_gn_tyv_au_lt_t_oo_l,2
s_a_n_k_o_f_a,2
s_a_c_r_e_d_t_e_c_h,2
d_a_t_a_s_o_v_e_r_e_i_g_n_t_y,2
d_a_t_a_s_o_v_e_r_e_i_g_n_t_ya_f_r_i_c_a_n_a_s_t_u_d_i_e_s,2
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yg_e_n_e_r_a_t_i_v_e_a_i,2
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yp_h_i_l_o_s_o_p_h_y,2
d_a_t_a_s_o_v_e_r_e_i_g_n_t_ys_t_o_i_c_i_s_m,2
d_a_t_a_s_o_v_e_r_e_i_g_n_t_ye_t_h_i_c_s,2
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yr_e_s_i_l_i_e_n_c_e,2
d_at_a_s_ov_er_ei_gn_ty9_d00_ff,2
d_at_a_s_ov_er_ei_gn_tyf_fc_c00,2
d_at_a_s_ov_er_ei_gn_tyf_fa_a00,2
d_at_a_s_ov_er_ei_gn_ty002_b5_b,2
d_at_a_s_ov_er_ei_gn_tya_fr_ic_an_a_t_he_me_s,2
d_at_a_s_ov_er_ei_gn_tya_im,2
d_at_a_s_ov_er_ei_gn_tyb_ib_li_ca_l_s_tu_di_es,2
d_at_a_s_ov_er_ei_gn_tye_th_ic_s,2
d_at_a_s_ov_er_ei_gn_tyr_es_il_ie_nc_e,2
d_at_a_s_ov_er_ei_gn_tyaim,2
d_at_a_s_ov_er_ei_gn_ty,2
displaying,2
c_h_e_a_t_s_h_e_e_t,1
g_l_o_s_s_a_r_y,1
a_f_r_o_f_u_t_u_r_i_s_m,1
r_e_b_e_l_l_i_o_n_c_o_d_e,1
d_i_g_i_t_a_l_a_r_c_h_i_v_e,1
a_i_f_a_i_r_n_e_s_s,1
t_e_c_h_n_o_r_i_t_u_a_l,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yp_y_t_h_o_n,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yo_b_s_i_d_i_a_n,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yv_a_u_l_t_s_t_r_u_c_t_u_r_e,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_y1,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yf_u_n_c_t_i_o_n,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_ya_i_m_l,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_ya_i_f_a_i_r_n_e_s_s,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_ya_u_t_o_m_a_t_i_o_n,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_ya_n_a_c_o_s_t_i_a_v_a_u_l_t,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yd_e_c_o_l_o_n_i_z_a_t_i_o_n,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_ys_o_c_i_a_l_j_u_s_t_i_c_e,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yl_e_a_r_n_i_n_g_p_a_t_h,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yt_e_c_h_j_u_s_t_i_c_e,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yt_e_c_h_n_i_c_a_l_m_a_s_t_e_r_y,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_ys_c_r_i_p_t_i_n_g,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yp_r_o_d_u_c_t_i_v_i_t_y,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yp_a_n_a_f_r_i_c_a_n_i_s_m,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yb_l_a_c_k_l_i_v_e_s_m_a_t_t_e_r,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_ys_u_m_m_a_r_y,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_ya_f_r_i_c_a_n_d_i_a_s_p_o_r_a,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_ya_i,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_ya_i_d_e_v_e_l_o_p_m_e_n_t,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yp_e_r_s_o_n_a_l_d_e_v_e_l_o_p_m_e_n_t,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_ys_t_a_n_d_a_r_d_l_i_b_r_a_r_y,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yh_o_u_s_e_h_o_l_d_m_i_g_h_t,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yu_s_e_r,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yd_a_t_e,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yc_o_r_e_l_i_b_r_a_r_i_e_s,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_ys_y_s_t_e_m_s,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yd_y_n_a_m_i_c,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yc_i_v_i_l_r_i_g_h_t_s,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_ys_c_r_i_p_t,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yr_o_y_a_l_p_u_r_p_l_e,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yo_b_j_e_c_t,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_ym_l,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yi_b_m_c_e_r_t_i_f_i_c_a_t_i_o_n,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yw_e_b,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yd_i_g_i_t_a_l_s_c_o_r_p_y_u_n,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yg_o_a_l_s,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yc_a_j_u_n_p_o_w_e_r,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yv_a_u_l_t_l_i_f_e,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_ya_f_r_o_f_u_t_u_r_i_s_m,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_ys_t_o_i_c_r_e_f_l_e_c_t_i_o_n,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yp_e_r_s_o_n_a_l_g_r_o_c_e_r_y_l_i_s_t,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yd_e_c_o_l_o_n_i_a_l_t_e_c_h,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yf_o_o_d_f_u_e_l,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yw_h_i_t_e_s_p_a_c_e,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_ys_t_a_r_t,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yd_e_c_o_l_o_n_i_a_l_t_h_o_u_g_h_t,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_ya_i_e_t_h_i_c_s,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yf_i_l_e,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_ys_y_s_t_e_m,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yc_o_m_m_a_n_d,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_ye_x_e_c_u_t_i_o_n,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yf_r_o_n_t_m_a_t_t_e_r,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yb_l_a_c_k_l_i_b_e_r_a_t_i_o_n,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yt_y_p_e_s,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_ys_e_c_t_i_o_n1,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yb_l_a_c_k_h_i_s_t_o_r_y,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yb_i_a_s_d_e_t_e_c_t_i_o_n,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yd_i_s_c_i_p_l_i_n_e,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yc_o_n_f_i_g,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_ya_c_t_i_v_i_s_m,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_y6_b5_b95,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yr_a_c_i_a_l_j_u_s_t_i_c_e,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yf_e_n_a_m_p_23956_a,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_ya_l_t_e_r_n_a_t_i_v_e_e_v_o_l_u_t_i_o_n,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yt_a_s_k_a_u_t_o_m_a_t_i_o_n,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yz_e_t_t_e_l_k_a_s_t_e_n,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yt_e_c_h_n_o_l_o_g_y,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_ya_s_t_r_o_b_i_o_l_o_g_y,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yd_e_e_p_l_e_a_r_n_i_n_g,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yf_a_i_r_n_e_s_s_m_e_t_r_i_c_s,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_y88_b04_b,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_ya_f_r_i_c_a_n_a_e_p_i_s_t_e_m_o_l_o_g_y,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yf7_c_a_c9,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_y1_c1_c1_c,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_ym_o_d_e_r_n_i_m_p_a_c_t,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_ym_a_r_y_l_a_n_d_r_e_p_a_r_a_t_i_o_n_s,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yo_b_s_i_d_i_a_n_v_a_u_l_t,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yi_b_m_a_i_d_e_v_e_l_o_p_e_r,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_y630330,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yp_r_o_g_r_a_m_m_i_n_g_f_u_n_d_a_m_e_n_t_a_l_s,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_ya_l_g_e_b_r_a,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yp_y_t_h_o_n_m_a_s_t_e_r_y,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yr_e_t_i_n_a_l_p_h_o_t_o_s_y_n_t_h_e_s_i_s,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_ys_e_n_a_t_e_b_i_l_l_587,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_ys_o_c_i_a_l_m_o_v_e_m_e_n_t,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yp_a_r_a_l_l_e_l_c_o_m_p_u_t_i_n_g,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yn_e_u_r_a_l_n_e_t_w_o_r_k_s,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yp_r_o_g_r_a_m_m_i_n_g,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yr_e_a_d_i_n_g_t_r_a_c_k_e_r,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yl_e_a_r_n_i_n_g,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yd_e_c_o_l_o_n_i_a_l_a_i,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_ya_n_g_e_l_a_d_a_v_i_s,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_ys_t_r_a_t_e_g_y,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_ya_f_r_i_c_a_n_d_i_a_s_p_o_r_a_t_h_e_m_e_s,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yi_b_m_a_i_c_e_r_t_i_f_i_c_a_t_i_o_n,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yn_a_v_i_g_a_t_i_o_n,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yd_a_i_l_y_r_o_u_t_i_n_e_s,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yf_f6_f61,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yp_e_r_f_o_r_m_a_n_c_e_o_p_t_i_m_i_z_a_t_i_o_n,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yb_l_a_c_k_c_a_u_c_u_s,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yt_e_c_h_s_t_a_c_k,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yd_e_c_o_l_o_n_i_a_l_b_i_o_l_o_g_y,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yd_e_c_o_l_o_n_i_a_l,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yv_a_u_l_t_i_n_d_e_x,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yr_e_p_a_r_a_t_i_o_n_s_h_i_s_t_o_r_y,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yc_o_m_p_u_t_a_t_i_o_n_a_l_j_u_s_t_i_c_e,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_ya_i_f_o_r_g_o_o_d,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_ya_l_g_o_r_i_t_h_m_i_c_j_u_s_t_i_c_e,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_ye_t_h_i_c_a_l_a_i,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yf_f_c_c00,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yc_o_n_t_a_c_t_s_i_n_d_e_x,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yb_i_b_l_i_c_a_l_s_t_u_d_i_e_s,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yt_e_c_h_s_u_p_p_o_r_t,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_ya_im,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_y9_d00_f_f,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_y002_b5_b,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yv_a_u_l_t_t_o_o_l,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yf_f_a_a00,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yd_i_g_i_t_a_l_s_c_o_r_p_y_u_n_a_p_p_r_o_v_e_d,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_yg_r_o_o_m_i_n_g_s_e_r_v_i_c_e_s,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_ya_i_m,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_ya_f_r_i_c_a_n_a_t_h_e_m_e_s,1
t_ag,1
s_e_s_s_i_o_n_c_o_n_t_e_x_t,1
a_l_g_o_r_i_t_h_m_i_c_g_r_i_o_t,1
k_n_o_w_l_e_d_g_e_s_o_v_e_r_e_i_g_n_t_y,1
t_e_c_h_n_o_f_e_u_d_a_l_i_s_m,1
a_f_r_i_c_a_n_a_s_t_u_d_i_e_s,1
a_c_c_e_s_s_i_b_i_l_i_t_y,1
d_e_s_i_g_n,1
r_e_s_i_s_t_a_n_c_e,1
j_o_b_s_e_a_r_c_h,1
v_a_u_l_t_m_a_i_n_t_e_n_a_n_c_e,1
t_e_m_p_l_a_t_e_s,1
o_b_s_i_d_i_a_n_w_o_r_k_f_l_o_w,1
s_t_r_u_c_t_u_r_e_l_o_g,1
r_e_a_d_i_n_g_l_o_g,1
p_y_t_h_o_n,1
p_r_o_g_r_a_m_m_i_n_g,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_y_p_e_r_s_o_n_a_l_d_e_v_e_l_o_p_m_e_n_t,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_y_b_i_b_l_i_c_a_l_s_t_u_d_i_e_s,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_y_a_f_r_i_c_a_n_a_t_h_e_m_e_s,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_y_a_i,1
d_a_t_a_s_o_v_e_r_e_i_g_n_t_y_o_b_s_i_d_i_a_n,1
e_m_a_i_l,1
i_n_b_o_x,1
r_e_c_i_p_e,1
c_a_j_u_n_c_h_i_c_k_e_n,1
c_o_m_f_o_r_t_f_o_o_d,1
s_o_u_t_h_e_r_n_f_l_a_v_o_r,1
c_o_m_p_u_t_a_t_i_o_n_a_l_t_h_i_n_k_i_n_g,1
f_o_u_n_d_a_t_i_o_n_a_l_c_o_n_c_e_p_t_s,1
c_h_a_p_t_e_r_1,1
p_y_t_h_o_n_b_a_s_i_c_s,1
