"SourceFile","BrokenLink"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\learning\ethics_case_studies.md","note_one"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\learning\hitler_and_the_nazis_evil_on_trial_ep_1_origin_of_evil.md","book_notes/Hett_Death_of_Democracy"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\learning\lord_of_the_rings_the_fellowship_of_the_ring.md","digitalscorpyun_manifesto_and_syllabus"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\learning_journal\microsof_cloud_support_associate\certificate_intro_to_secure_networking_msft.md","Pasted image 20251014173113.png"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\learning_journal\microsof_cloud_support_associate\generative_ai_terminology.md","ai_ethics_framework"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\learning_journal\microsof_cloud_support_associate\gpt5_prompt_optimizer.md","playground_settings"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\learning_journal\microsof_cloud_support_associate\microsoft_cloud_support_associate_overview.md","introduction_to_computers"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\learning_journal\microsof_cloud_support_associate\ms900_study_guide.md","introduction_to_computers"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\media\concept_art\digitalscorpyun_avatar_v1.md","digitalscorpyun_avatar_v1.png"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\media\concept_art\digitalscorpyun_mask_v1.md","digitalscorpyun_mask_v1.png"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\media\concept_art\visual_mythos\the_twenty_circuits.md","ring_logic_of_power.md"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\obsidian_fortress\avm_config_yaml_example.md","note_one"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\obsidian_fortress\avm_ops_status.md","miniconda_avm_ops_setup"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\obsidian_fortress\agents\agent_registry.md","Provenance"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\obsidian_fortress\agents\avm_syndicate_gameplan.md","war_council/anacostia_vault_structure"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\obsidian_fortress\agents\avm_syndicate_prompt_templates.md","note_one"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\obsidian_fortress\agents\cg_scribe_prompt_profile.md","session_context.md"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\obsidian_fortress\agents\mnemonic_warden_archive.md","session_context"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\obsidian_fortress\agents\session_logs\kimi_deux_handoff.md","session_context"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\obsidian_fortress\agents\session_logs\od_comply_handoff.md","session_context"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\obsidian_fortress\avm_ops\avm_excerpt_to_bluesky_quickguide.md","vs_enc_handoff"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\obsidian_fortress\configs\terminal_theme_tyrian_griot.md","note_one"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\obsidian_fortress\configs\ubuntu_env_refinery.md","session_context.md"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\obsidian_fortress\_deprecated\vault_path_map.md","session_context"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\obsidian_fortress\_logs\debug_log.md","note_generator_dev"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\personal-development\imported_from\learning_journal\comptia_a+\comptia_a_plus_core_1_study_guide.md","comptia_a_plus_certification_overview"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\personal-development\imported_from\learning_journal\ibm_ai_developer\client_side_javascript_with_dom.md","Pasted image 20250519183907.png"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\personal-development\imported_from\learning_journal\ibm_ai_developer\dom2_node_types.md","Anticipated: lab_manipulating_dom_with_js.md"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\personal-development\imported_from\learning_journal\ibm_ai_developer\python_for_data_science.md","personal_development_productivity_strategies"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\personal-development\imported_from\learning_journal\ibm_ai_developer\python_for_data_science\pandas_intro_summary.md","'Name', 'Age'"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\personal-development\imported_from\learning_journal\ibm_ai_developer\python_for_data_science\working_with_data_in_python_cheatsheet.md","""col1"", ""col2"""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\personal-development\imported_from\personal_development\career_development_networking_strategies.md","session_context"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\personal-development\imported_from\personal_development\personal_development_digitalscorpyun.md","how_to_build_an_agent_digitalscorpyun_style"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\personal-development\imported_from\personal_development\personal_development_goal_setting.md","note_one"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\personal-development\imported_from\personal_development\personal_development_productivity_strategies.md","structure_note_sacred_routines"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\personal-development\imported_from\personal_development\resume_2.md","Pasted image 20250525173839.png"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\personal-development\imported_from\personal_development\resume_master.md","personal-development-digitalscorpyun"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\personal-development\imported_from\personal_development\resume.md","note_one"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\personal-development\imported_from\personal_development\cooking\digitalscorpyuns_jambalaya.md","black_culinary_resistance"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\personal-development\imported_from\resources\reading_logs\reading_log.md","scholarly_reading_journey.md"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\personal_development\personal_development_goal_setting.md","note_one"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\personal_development\personal_development_productivity_strategies.md","structure_note_sacred_routines"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\personal_development\resume_2.md","Pasted image 20250525173839.png"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\personal_development\cooking\digitalscorpyuns_jambalaya.md","black_culinary_resistance"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\personal_development\job_search_entries\job_search_log.md","ops/mw_archive/index"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\policy_analysis\on_tyranny_key_lessons.md","note_one"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\policy_analysis\political_ai.md","note_one"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\policy_analysis\politics_anticipatory_obedience.md","digitalscorpyun_rebellion_code"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\projects\imported_from\obsidian_ops\_script_output_archive\sankofa_spine_script_gen_20250511_1743.md","war_council 1"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\projects\imported_from\obsidian_ops\_script_output_archive\war_council_dashboard_draft_20250511.md","war_council.md"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\projects\imported_from\projects\javascript_projects\javascript_apis.md","note_one"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\reading_journal\book_summaries\diasporic_literature_index.md","discourse_on_colonialism"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\reading_journal\book_summaries\keckley_30_years.md","memoir_as_witness"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\reading_journal\book_summaries\summary_pan_african_american_literature.md","uncanny_rememories_teju_cole"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\reading_journal\book_summaries\black_philosophy\map_to_the_door_of_no_return\map_to_the_door_of_no_return.md","scorpyun_manifesto"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\reading_journal\book_summaries\black_philosophy\map_to_the_door_of_no_return\summary_overview.md","symbolic_vs_utilitarian_value"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\reading_journal\book_summaries\critical_theory\the_rise_of_totalitarianism.md","on_tyranny_key_lessons"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\reading_journal\book_summaries\critical_theory\technofeudalism\summary_of_technofeudalism.md","digitalscorpyun_manifesto_and_syllabus"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\reading_journal\book_summaries\critical_theory\technofeudalism\technofeudal_economic_paradigms.md","governance/digital_transformation_challenges"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\reading_journal\book_summaries\critical_theory\technofeudalism\technofeudalism_annotations.md","symbolic_vs_utilitarian_value"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\reading_journal\book_summaries\critical_theory\technofeudalism\technofeudalism_outline_nb_lm.md","digitalscorpyun_manifesto_and_syllabus.md"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\reading_journal\book_summaries\critical_theory\technofeudalism\technofeudalism_what_killed_capitalism.md","note_one"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\reading_journal\book_summaries\critical_theory\technofeudalism\varoufakis_technofeudalism_notes.md","legitimation_loop"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\reading_journal\book_summaries\the_black_president\manifest.md","note_one"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\reading_journal\book_summaries\the_black_president\source_notes\the_black_president_outline_nb_lm.md","scholarly_reading_journey.md"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\reading_journal\book_summaries\the_black_president\summaries\summary_of_the_black_president.md","reading_log"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\reading_journal\glyphs\decolonial_critique\economic_paranoia_capitalism.md","technofeudalism"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\reading_journal\glyphs\decolonial_critique\reactionary_aesthetics.md","ugly_white_people_analysis"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\reading_journal\glyphs\decolonial_critique\respectability_politics.md","black_panther_party_archival_scroll.md"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\science\imported_from\mathematics\algebra\algebra_overview.md","structure-note-algebraic-concepts"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\science\imported_from\mathematics\algebra\linear_equations_and_inequalities.md","${note.replace(/\.md$/, """")}"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\systems\goal_tracker_dashboard.md","note_one"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\systems\legitimation_loop.md","note_one"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\systems\od_comply_personality_profile.md","${note.replace(/\.md$/, """")}"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\systems\reading_log_schema.md","note_one"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\systems\rebellion_code_changelog.md","digitalscorpyun_rebellion_code"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\systems\rebellion_greeting.ps1.md","note_one"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\systems\system_audit_index.md","${note.replace(/\.md$/, """")}"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\systems\system_software_update_manifest.md","vs_code_agent_mode_usage"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\systems\the_lion_of_anacostia_bias_detection.md","ai-ml-bias-detection-tools.md"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\systems\vault_etymology_index.md","folk_language_of_resistance"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\technology\foundations_programming_terms.md","ai-ml-basics.md"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\technology\how_to_build_an_agent_digitalscorpyun_style.md","note_one"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\technology\python-chapter4-exercises.md","note_one"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\technology\refactor_script_manifest.md","note_one"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\Templates\active_reading_template.md",""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\Templates\avm_project_template.md","digitalscorpyun_manifesto_and_syllabus"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\Templates\base_template.md","<%= link.replace(/\.md"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\Templates\reading_summary_template.md","sankofa_reading_journey"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\Templates\run_inject_links.md","${note.replace(/\.md$/, """")}"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\Templates\vault_standard_template_guide.md","vault_standard_implementation_notes"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\Templates\vault_standard.md","sankofa_spine"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\vault_ops\discipline\anacostia_vault_operations.md","vault_path_map"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\vault_ops\logs\vault_log.md","${note.replace(/\.md$/, """")}"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\war_council\housekeeping_sweep.md","lion_scraper"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\war_council\launch_protocol.md","war_council/anacostia_vault_structure"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\war_council\sacred_tech_index.md","html5_input_attributes"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\war_council\system_profile.md","session_context"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\war_council\traits_chatgpt_should_have.md","note_one"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\weekly_rituals\weekly_ritual_template.md","avm_ops_status"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\zettelkasten\imported_from\obsidian_fortress\dataview_queries\black_identity_web_query.md","${note.replace(/\.md$/, """")}"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\zettelkasten\imported_from\obsidian_fortress\prompt_engineering\avm_prompt_document.md","sankofa_spine"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\zettelkasten\imported_from\obsidian_fortress\prompt_engineering\avm_syndicate_prompt_templates.md","avm_syndicate_gameplan"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\zettelkasten\imported_from\obsidian_fortress\prompt_engineering\avm_syndicate_tone_primer.md","avm_syndicate_gameplan"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\zettelkasten\imported_from\obsidian_fortress\reading_systems\reading_log_schema.md","${note.replace(/\.md$/, """")}"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\zettelkasten\imported_from\reading_journal\reading_protocols\scholarly_reading_journey.md","ibm_agentic_alchemy"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\zettelkasten\imported_from\reading_journal\reading_protocols\scholarly_reading_protocol.md","reading_package_playbook"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\_inbox\online_articles.md","note_one"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\_inbox\README.md","note_one"
